date,close
2019-01-04,86100.0
2019-01-07,91650.0
2019-01-08,97650.0
2019-01-09,179250.0
2019-01-10,116250.0
2019-01-11,93000.0
2019-01-14,83250.0
2019-01-15,75000.0
2019-01-16,71400.0
2019-01-17,75000.0
2019-01-18,70500.0
2019-01-22,65550.0
2019-01-23,59100.0
2019-01-24,58200.0
2019-01-25,56940.0
2019-01-28,56850.0
2019-01-29,63000.0
2019-01-30,90600.0
2019-01-31,106650.0
2019-02-01,99900.0
2019-02-04,86400.0
2019-02-05,93900.0
2019-02-06,88800.0
2019-02-07,88200.0
2019-02-08,85650.0
2019-02-11,87150.0
2019-02-12,84150.0
2019-02-13,80250.0
2019-02-14,78600.0
2019-02-15,78750.0
2019-02-19,79950.0
2019-02-20,77250.0
2019-02-21,78000.0
2019-02-22,75450.0
2019-02-25,94500.0
2019-02-26,96750.0
2019-02-27,87150.0
2019-02-28,93150.0
2019-03-01,105840.0
2019-03-04,110100.0
2019-03-05,116850.0
2019-03-06,106800.0
2019-03-07,92850.0
2019-03-08,101100.0
2019-03-11,101250.0
2019-03-12,96600.0
2019-03-13,95850.0
2019-03-14,95700.0
2019-03-15,94500.0
2019-03-18,104400.0
2019-03-19,96300.0
2019-03-20,92400.0
2019-03-21,92250.0
2019-03-22,91950.0
2019-03-25,94800.0
2019-03-26,95700.0
2019-03-27,99750.0
2019-03-28,99000.0
2019-03-29,102300.0
2019-04-01,98550.0
2019-04-02,95550.0
2019-04-03,94350.0
2019-04-04,96300.0
2019-04-05,97500.0
2019-04-08,94500.0
2019-04-09,94800.0
2019-04-10,96150.0
2019-04-11,93150.0
2019-04-12,91800.0
2019-04-15,91950.0
2019-04-16,93450.0
2019-04-17,82500.0
2019-04-18,79500.0
2019-04-22,79200.0
2019-04-23,79800.0
2019-04-24,75150.0
2019-04-25,72750.0
2019-04-26,73650.0
2019-04-29,78000.0
2019-04-30,78300.0
2019-05-01,70650.0
2019-05-02,71550.0
2019-05-03,72600.0
2019-05-06,74250.0
2019-05-07,72750.0
2019-05-08,72300.0
2019-05-09,67800.0
2019-05-10,67650.0
2019-05-13,63600.0
2019-05-14,60750.0
2019-05-15,64650.0
2019-05-16,62550.0
2019-05-17,65700.0
2019-05-20,60150.0
2019-05-21,61800.0
2019-05-22,61725.0
2019-05-23,59400.0
2019-05-24,61800.0
2019-05-28,60000.0
2019-05-29,60300.0
2019-05-30,65250.0
2019-05-31,59100.0
2019-06-03,56100.0
2019-06-04,57150.0
2019-06-05,60000.0
2019-06-06,58500.0
2019-06-07,46950.0
2019-06-10,48450.0
2019-06-11,50700.0
2019-06-12,47700.0
2019-06-13,45750.0
2019-06-14,47100.0
2019-06-17,54000.0
2019-06-18,51150.0
2019-06-19,53595.0
2019-06-20,52650.0
2019-06-21,65100.0
2019-06-24,54000.0
2019-06-25,51600.0
2019-06-26,48150.0
2019-06-27,60000.0
2019-06-28,53700.0
2019-07-01,59100.0
2019-07-02,59550.0
2019-07-03,60450.0
2019-07-05,47100.0
2019-07-08,46350.0
2019-07-09,43650.0
2019-07-10,48300.0
2019-07-11,42000.0
2019-07-12,44100.0
2019-07-15,43200.0
2019-07-16,44850.0
2019-07-17,44400.0
2019-07-18,43800.0
2019-07-19,42300.0
2019-07-22,43800.0
2019-07-23,38850.0
