date,close,high,low,open,volume
2012-02-14,396.0,396.0,360.0,396.0,60
2012-02-15,396.0,396.0,333.6000061035156,396.0,83
2012-02-16,348.0,396.0,348.0,396.0,38
2012-02-17,372.0,372.0,372.0,372.0,5
2012-02-21,360.0,372.0,348.0,372.0,38
2012-02-22,360.0,372.0,360.0,372.0,16
2012-02-23,360.0,372.0,360.0,360.0,17
2012-02-24,297.6000061035156,362.3999938964844,297.6000061035156,360.0,2200
2012-02-27,396.0,396.0,345.6000061035156,345.6000061035156,526
2012-02-28,403.20001220703125,408.0,396.0,396.0,162
2012-02-29,420.0,420.0,408.0,408.0,266
2012-03-01,420.0,420.0,420.0,420.0,465
2012-03-02,432.0,432.0,420.0,420.0,171
2012-03-05,424.79998779296875,432.0,424.79998779296875,432.0,57
2012-03-06,429.6000061035156,432.0,424.79998779296875,432.0,82
2012-03-07,432.0,432.0,429.6000061035156,429.6000061035156,138
2012-03-08,432.0,432.0,432.0,432.0,75
2012-03-09,456.0,456.0,432.0,432.0,1105
2012-03-12,492.0,492.0,456.0,456.0,1065
2012-03-13,535.2000122070312,540.0,492.0,492.0,2002
2012-03-14,564.0,564.0,535.2000122070312,540.0,1273
2012-03-15,612.0,612.0,564.0,568.7999877929688,1421
2012-03-16,631.2000122070312,636.0,612.0,624.0,685
2012-03-19,576.0,636.0,576.0,636.0,423
2012-03-20,554.4000244140625,588.0,468.0,580.7999877929688,918
2012-03-21,540.0,588.0,528.0,564.0,269
2012-03-22,554.4000244140625,588.0,552.0,576.0,790
2012-03-23,566.4000244140625,578.4000244140625,540.0,578.4000244140625,541
2012-03-26,600.0,600.0,578.4000244140625,578.4000244140625,596
2012-03-27,592.7999877929688,604.7999877929688,588.0,600.0,635
2012-03-28,588.0,604.7999877929688,588.0,592.7999877929688,148
2012-03-29,600.0,604.7999877929688,576.0,576.0,265
2012-03-30,592.7999877929688,604.7999877929688,588.0,604.7999877929688,425
2012-04-02,657.5999755859375,657.5999755859375,600.0,604.7999877929688,1128
2012-04-03,648.0,660.0,648.0,657.5999755859375,446
2012-04-04,655.2000122070312,664.7999877929688,648.0,664.7999877929688,473
