date,close,high,low,open,volume
2020-12-03,242.1199951171875,244.6999969482422,235.8000030517578,242.89999389648438,1010
2020-12-04,236.0800018310547,245.22000122070312,233.0,242.35000610351562,980
2020-12-07,261.79998779296875,268.20001220703125,243.10000610351562,243.10000610351562,12480
2020-12-08,256.5,276.8999938964844,255.0,276.8999938964844,3120
2020-12-09,235.22000122070312,256.70001220703125,228.5,249.8000030517578,8490
2020-12-10,234.0,247.39999389648438,230.5,242.0,5690
2020-12-11,228.7100067138672,238.89999389648438,227.1999969482422,232.5,4830
2020-12-14,214.13999938964844,237.3000030517578,212.85000610351562,227.0,4680
2020-12-15,235.8000030517578,237.39999389648438,224.5,232.0,7990
2020-12-16,248.8699951171875,249.3000030517578,231.0,247.5,9850
2020-12-17,277.3999938964844,283.29998779296875,265.0,265.0,18710
2020-12-18,260.6000061035156,280.0,260.6000061035156,280.0,5300
2020-12-21,262.79998779296875,285.0,258.6000061035156,269.20001220703125,9420
2020-12-22,235.99000549316406,260.1000061035156,232.0,260.1000061035156,12830
2020-12-23,250.0,252.6999969482422,243.5,243.5,11270
2020-12-24,251.89999389648438,256.6000061035156,244.5,246.5500030517578,3800
2020-12-28,246.5,271.8800048828125,246.5,268.70001220703125,9610
2020-12-29,245.67999267578125,259.70001220703125,243.5,246.0,12560
2020-12-30,265.0,265.20001220703125,247.99000549316406,247.99000549316406,9700
2020-12-31,253.39999389648438,271.29998779296875,249.3000030517578,271.29998779296875,8350
2021-01-04,307.6000061035156,312.6000061035156,281.6000061035156,281.6000061035156,21900
2021-01-05,311.79998779296875,322.29998779296875,297.5,322.29998779296875,18080
2021-01-06,305.8999938964844,306.3999938964844,281.45001220703125,297.70001220703125,19460
2021-01-07,300.8999938964844,305.20001220703125,288.7900085449219,299.20001220703125,12480
2021-01-08,254.1999969482422,280.0,237.1999969482422,274.3999938964844,36660
2021-01-11,239.5,248.89999389648438,235.0,235.0,8740
2021-01-12,248.8000030517578,248.8000030517578,227.10000610351562,240.0,20600
2021-01-13,239.5,247.00999450683594,232.6999969482422,241.3000030517578,13380
2021-01-14,236.3000030517578,243.3000030517578,231.5,240.5,16870
2021-01-15,208.8000030517578,228.60000610351562,208.0,228.60000610351562,26580
2021-01-19,217.10000610351562,221.0,208.89999389648438,216.5,9130
2021-01-20,239.0,241.8000030517578,225.14999389648438,228.0,14220
