date,close
2021-04-09,9974.6865234375
2021-04-12,10048.537109375
2021-04-13,10053.4599609375
2021-04-14,10097.7685546875
2021-04-15,10014.0712890625
2021-04-16,10097.7685546875
2021-04-19,10151.9267578125
2021-04-20,10014.0712890625
2021-04-21,9964.8388671875
2021-04-22,10078.076171875
2021-04-23,9945.146484375
2021-04-26,10023.91796875
2021-04-27,10082.9990234375
2021-04-28,10048.537109375
2021-04-29,10043.61328125
2021-04-30,10009.1484375
2021-05-03,10082.9990234375
2021-05-04,9989.455078125
2021-05-06,9846.6796875
2021-05-07,9890.9892578125
2021-05-10,9881.142578125
2021-05-11,9610.3583984375
2021-05-12,9669.439453125
2021-05-13,9541.4326171875
2021-05-14,9634.9755859375
2021-05-17,9831.9091796875
2021-05-18,9807.2919921875
2021-05-20,9694.0546875
2021-05-21,9856.525390625
2021-05-24,9802.3681640625
2021-05-25,9959.916015625
2021-05-26,9900.8349609375
2021-05-27,9895.912109375
2021-05-28,9871.294921875
2021-05-31,9856.525390625
2021-06-01,9812.2158203125
2021-06-02,9841.755859375
2021-06-03,9861.44921875
2021-06-04,9767.90625
2021-06-07,9895.912109375
2021-06-08,9979.609375
2021-06-09,9974.6865234375
2021-06-10,9984.5322265625
2021-06-11,10038.689453125
2021-06-14,10137.15625
2021-06-15,10235.62109375
2021-06-16,10166.6953125
2021-06-17,10181.466796875
2021-06-18,10407.9404296875
2021-06-21,10339.013671875
2021-06-22,10373.4765625
2021-06-23,10540.869140625
2021-06-24,10511.330078125
2021-06-25,10496.560546875
2021-06-28,10521.177734375
2021-06-29,10604.8740234375
2021-06-30,10649.18359375
2021-07-01,10693.4931640625
2021-07-02,10688.5703125
2021-07-05,10787.037109375
2021-07-06,10762.419921875
2021-07-07,10905.1962890625
2021-07-08,10974.1240234375
2021-07-09,10949.5078125
2021-07-12,11008.587890625
2021-07-13,11038.1279296875
2021-07-14,11067.6669921875
2021-07-15,11038.1279296875
2021-07-16,10929.8134765625
2021-07-19,10900.2734375
2021-07-20,10910.1201171875
2021-07-21,11008.587890625
2021-07-22,11062.744140625
2021-07-23,11180.9033203125
2021-07-26,11303.9873046875
2021-07-27,11259.677734375
2021-07-28,11190.7509765625
2021-07-29,11146.44140625
2021-07-30,11067.6669921875
2021-08-02,11220.2919921875
2021-08-03,11156.2880859375
2021-08-04,11175.98046875
2021-08-05,11180.9033203125
2021-08-06,11225.21484375
2021-08-09,11161.2119140625
2021-08-10,11264.6005859375
2021-08-11,11274.44921875
2021-08-12,11289.216796875
2021-08-13,11431.9951171875
2021-08-17,11525.5380859375
2021-08-18,11372.9150390625
2021-08-19,11259.677734375
2021-08-20,11412.3017578125
2021-08-23,11520.615234375
2021-08-24,11594.4658203125
2021-08-25,11628.9287109375
2021-08-26,11628.9287109375
2021-08-27,11619.08203125
2021-08-30,11673.23828125
2021-08-31,11776.6279296875
2021-09-01,11722.470703125
2021-09-02,11752.0107421875
2021-09-03,11712.625
2021-09-06,11756.935546875
2021-09-07,11776.6279296875
2021-09-08,11855.4013671875
2021-09-09,11806.16796875
2021-09-10,11816.015625
2021-09-13,11786.4755859375
2021-09-14,11727.3935546875
2021-09-15,11678.162109375
2021-09-16,11747.087890625
2021-09-17,11825.86328125
2021-09-23,11584.6181640625
2021-09-24,11658.466796875
2021-09-27,11727.3935546875
2021-09-28,11604.3115234375
2021-09-29,11377.8388671875
2021-09-30,11402.4541015625
2021-10-01,11230.1376953125
2021-10-05,11161.2119140625
2021-10-06,11249.83203125
2021-10-07,11500.9208984375
2021-10-08,11520.615234375
2021-10-12,11382.76171875
2021-10-13,11323.6806640625
2021-10-14,11431.9951171875
2021-10-15,11550.1552734375
2021-10-18,11589.541015625
2021-10-19,11692.931640625
2021-10-20,11692.931640625
2021-10-21,11697.8544921875
2021-10-22,11756.935546875
2021-10-25,11638.7744140625
2021-10-26,11786.4755859375
2021-10-27,11816.015625
2021-10-28,11845.5546875
2021-10-29,11845.5546875
2021-11-01,12086.7978515625
2021-11-02,12086.7978515625
2021-11-03,12219.728515625
2021-11-04,12387.123046875
2021-11-05,12554.5166015625
2021-11-08,12505.2822265625
2021-11-09,12456.048828125
2021-11-10,12392.0458984375
2021-11-11,12264.0390625
2021-11-12,12283.732421875
2021-11-15,12401.8916015625
2021-11-16,12367.4287109375
2021-11-17,12490.5126953125
2021-11-18,12505.2822265625
2021-11-19,12712.0634765625
2021-11-22,12771.142578125
2021-11-23,12588.9794921875
2021-11-24,12574.2099609375
2021-11-25,12657.90625
2021-11-26,12588.9794921875
2021-11-29,12529.8994140625
2021-11-30,12549.5927734375
2021-12-01,12529.8994140625
2021-12-02,12150.8017578125
2021-12-03,12249.26953125
2021-12-06,12081.875
2021-12-07,12200.0361328125
2021-12-08,12505.2822265625
2021-12-09,12470.8193359375
2021-12-10,12362.505859375
2021-12-13,12520.052734375
2021-12-14,12347.736328125
2021-12-15,12259.115234375
2021-12-16,12564.36328125
2021-12-17,12136.033203125
2021-12-20,12032.6416015625
2021-12-21,12214.8037109375
2021-12-22,12337.8896484375
2021-12-23,12451.1259765625
2021-12-24,12539.7451171875
2021-12-27,12554.5166015625
2021-12-28,12756.3720703125
2021-12-29,12721.91015625
2021-12-30,12712.0634765625
2022-01-04,12805.6064453125
2022-01-05,12569.2861328125
2022-01-06,12209.880859375
2022-01-07,12298.501953125
2022-01-10,12165.5732421875
2022-01-11,12081.875
2022-01-12,12254.1923828125
2022-01-13,12219.728515625
2022-01-14,11958.791015625
2022-01-17,12022.794921875
2022-01-18,11919.40625
2022-01-19,11668.3134765625
2022-01-20,11688.0087890625
2022-01-21,11382.76171875
2022-01-24,11279.37109375
2022-01-25,11116.8994140625
2022-01-26,11057.8203125
2022-01-27,10851.041015625
2022-01-28,11072.591796875
2022-02-03,11569.8486328125
2022-02-04,11495.998046875
2022-02-07,11431.9951171875
2022-02-08,11328.603515625
2022-02-09,11491.0751953125
2022-02-10,11653.5439453125
2022-02-11,11328.603515625
2022-02-15,11111.9765625
2022-02-16,11333.5263671875
2022-02-17,11289.216796875
2022-02-18,11052.8974609375
2022-02-21,10880.5810546875
2022-02-22,10604.8740234375
2022-02-23,10791.9599609375
2022-02-24,10270.087890625
2022-02-25,10791.9599609375
2022-02-28,10811.654296875
2022-03-02,10979.046875
2022-03-03,11121.8232421875
2022-03-04,11003.6650390625
2022-03-07,10826.423828125
2022-03-08,10550.716796875
2022-03-10,10905.1962890625
2022-03-11,10860.8876953125
2022-03-14,10791.9599609375
2022-03-15,10545.79296875
2022-03-16,10865.8115234375
2022-03-17,11008.587890625
2022-03-18,10998.740234375
2022-03-21,11274.44921875
2022-03-22,11323.6806640625
2022-03-23,11540.3076171875
2022-03-24,11481.2275390625
2022-03-25,11692.931640625
2022-03-28,11688.0087890625
2022-03-29,11865.248046875
2022-03-30,11953.8681640625
2022-03-31,11899.712890625
2022-04-01,11766.7822265625
2022-04-04,11717.5478515625
2022-04-05,11909.55859375
2022-04-06,11707.7021484375
2022-04-07,11476.3037109375
2022-04-08,11579.6953125
2022-04-11,11407.3779296875
2022-04-12,11185.8271484375
2022-04-13,11195.673828125
2022-04-14,11328.603515625
2022-04-15,11235.0615234375
2022-04-18,11038.1279296875
2022-04-19,11230.1376953125
2022-04-20,11264.6005859375
2022-04-21,11299.064453125
2022-04-22,11023.357421875
2022-04-25,10732.880859375
2022-04-26,10964.2763671875
2022-04-27,10747.6494140625
2022-04-28,10895.3505859375
2022-04-29,10895.3505859375
2022-05-03,10752.5732421875
2022-05-04,10777.189453125
2022-05-06,10599.9501953125
2022-05-10,10255.3173828125
2022-05-11,10299.6259765625
2022-05-12,9989.455078125
2022-05-13,10073.15234375
2022-05-16,10191.3134765625
2022-05-17,10196.236328125
2022-05-18,10275.0107421875
2022-05-19,9861.44921875
2022-05-20,9851.6025390625
2022-05-23,9856.525390625
2022-05-24,9694.0546875
2022-05-25,9703.9033203125
2022-05-26,9753.13671875
