Date,Open,High,Low,Close,Volume
1984-06-01,1.3507468700408936,1.3627003135648397,1.3507468700408936,1.3507468700408936,7340000
1984-06-04,1.3507468700408936,1.3627003135648397,1.3507468700408936,1.3507468700408936,4067000
1984-06-05,1.3507470754987954,1.3507470754987954,1.3387935161590576,1.3387935161590576,2089000
1984-06-06,1.4105145931243896,1.434421596940548,1.4105145931243896,1.4105145931243896,1894000
1984-06-07,1.5659102201461792,1.577863664530433,1.5659102201461792,1.5659102201461792,2078000
1984-06-08,1.661538004875183,1.685445118382217,1.661538004875183,1.661538004875183,2227000
1984-06-11,1.5778635090467525,1.5778635090467525,1.5539565086364746,1.5539565086364746,1219000
1984-06-12,1.5539564732679167,1.5539564732679167,1.5420029163360596,1.5420029163360596,670000
1984-06-13,1.6137239933013916,1.6256775499619094,1.6137239933013916,1.6137239933013916,1339000
1984-06-14,1.5898172229122682,1.5898172229122682,1.5659102201461792,1.5659102201461792,680000
1984-06-15,1.6137239933013916,1.6256775499619094,1.6137239933013916,1.6137239933013916,704000
1984-06-18,1.661538004875183,1.6734915616287,1.661538004875183,1.661538004875183,480000
1984-06-19,1.7810732126235962,1.7930267700227767,1.7810732126235962,1.7810732126235962,1581000
1984-06-20,1.9723299741744995,1.9842835347685375,1.9723299741744995,1.9723299741744995,2273000
1984-06-21,1.972329547967714,1.972329547967714,1.9484224319458008,1.9484224319458008,2039000
1984-06-22,2.163585901260376,2.1755394598741127,2.163585901260376,2.163585901260376,1199000
1984-06-25,2.1516320351463625,2.1516320351463625,2.139678478240967,2.139678478240967,1579000
1984-06-26,2.1994457244873047,2.2113992797063595,2.1994457244873047,2.1994457244873047,1040000
1984-06-27,2.1516320351463625,2.1516320351463625,2.139678478240967,2.139678478240967,1046000
1984-06-28,2.247260093688965,2.2592136509097323,2.247260093688965,2.247260093688965,563000
1984-06-29,2.4265623092651367,2.450469419186951,2.4265623092651367,2.4265623092651367,1019000
1984-07-02,2.3907024168034723,2.3907024168034723,2.366795301437378,2.366795301437378,940000
1984-07-03,2.414609670639038,2.43851655938096,2.414609670639038,2.414609670639038,339000
1984-07-05,2.534144401550293,2.5460977300520797,2.534144401550293,2.534144401550293,1428000
1984-07-06,2.522190293997569,2.522190293997569,2.5102367401123047,2.5102367401123047,728000
1984-07-09,2.486329969180651,2.486329969180651,2.462423086166382,2.462423086166382,963000
1984-07-10,2.4146096365383496,2.4146096365383496,2.402656078338623,2.402656078338623,1938000
1984-07-11,2.30702731352642,2.30702731352642,2.295073986053467,2.295073986053467,980000
1984-07-12,2.235307216644287,2.235307216644287,2.235307216644287,2.235307216644287,1021000
1984-07-13,2.259213447570801,2.271167003715697,2.259213447570801,2.259213447570801,223000
1984-07-16,2.1874927904926826,2.1874927904926826,2.163585901260376,2.163585901260376,473000
1984-07-17,2.235307216644287,2.247260548287957,2.235307216644287,2.235307216644287,350000
1984-07-18,2.2353059853051067,2.2472593103641763,2.2233524322509766,2.2233524322509766,150000
1984-07-19,2.00818953236902,2.00818953236902,1.9962362051010132,1.9962362051010132,761000
1984-07-20,1.8527944304791806,1.8527944304791806,1.8169338703155518,1.8169338703155518,723000
1984-07-23,1.8767009973526,1.8886545526341183,1.8767009973526,1.8767009973526,580000
1984-07-24,1.8647479318789382,1.8647479318789382,1.8408408164978027,1.8408408164978027,321000
1984-07-25,1.9723299741744995,1.9962370953625754,1.9723299741744995,1.9723299741744995,649000
1984-07-26,2.056004285812378,2.067957616175634,2.056004285812378,2.056004285812378,674000
1984-07-27,2.0440499397075067,2.0440499397075067,2.0320963859558105,2.0320963859558105,330000
1984-07-30,2.0320970666670277,2.0440506244229226,2.020143508911133,2.020143508911133,156000
1984-07-31,2.0201430876321305,2.0201430876321305,1.9962362051010132,1.9962362051010132,242000
1984-08-01,2.247260093688965,2.2592136509097323,2.247260093688965,2.247260093688965,843000
1984-08-02,2.366795301437378,2.3787488591204253,2.366795301437378,2.366795301437378,756000
1984-08-03,2.247260548287957,2.247260548287957,2.235307216644287,2.235307216644287,1030000
1984-08-06,2.211399242219737,2.211399242219737,2.1874921321868896,2.1874921321868896,1028000
1984-08-07,2.1874921438852892,2.2711668014526367,2.127724596478641,2.2711668014526367,628000
1984-08-08,2.2711672081305,2.3309347662391975,2.247260093688965,2.247260093688965,662000
1984-08-09,2.247260611912036,2.462424007517567,2.235307279929945,2.450470447540283,798000
1984-08-10,2.4743766756232235,2.617818659662399,2.4743766756232235,2.558051109313965,1352000
1984-08-13,2.558051286548993,2.558051286548993,2.4743768470608534,2.534144401550293,801000
1984-08-14,2.5341441911994043,2.5580510742136733,2.438515975157005,2.462423086166382,403000
1984-08-15,2.462423086166382,2.486329969180651,2.4504695306616937,2.462423086166382,220000
1984-08-16,2.4624238246854566,2.7014940944996724,2.4624238246854566,2.6536800861358643,1096000
1984-08-17,2.6536794019670342,2.66563272997981,2.5580511818990095,2.581958293914795,439000
1984-08-20,2.5819589595925643,2.67758697632018,2.5580518414130724,2.6536800861358643,350000
1984-08-21,2.6895400058481513,2.9166566718540805,2.6895400058481513,2.892749786376953,1271000
1984-08-22,2.940564044775056,3.0122851635247208,2.940564044775056,2.9883780479431152,2068000
1984-08-23,2.98837847584491,3.20354163490767,2.98837847584491,3.1557276248931885,2025000
1984-08-24,3.155726481005617,3.311122242218816,3.155726481005617,3.251354694366455,1916000
1984-08-27,3.2513545389047858,3.263307865507635,3.119865894317627,3.119865894317627,956000
1984-08-28,3.1198657221994153,3.1676797099582603,3.0122841927432447,3.143772602081299,1345000
1984-08-29,3.1437728758392667,3.179633540777435,3.012284455051275,3.072052001953125,1546000
1984-08-30,3.0720523795375714,3.0720523795375714,2.8927497167940195,2.95251727104187,1008000
1984-08-31,2.9525176025658584,2.9883780479431152,2.9166569291934503,2.9883780479431152,384000
1984-09-04,3.0003317966893364,3.263308944848359,3.0003317966893364,3.2394020557403564,1132000
1984-09-05,3.2394011398292224,3.335029125213623,3.155726481621546,3.335029125213623,1808000
1984-09-06,3.3350290164977436,3.5980063097249166,3.3350290164977436,3.538238763809204,3009000
1984-09-07,3.550192692878803,3.657774241270105,3.550192692878803,3.5860531330108643,2191000
1984-09-10,3.5860541043865246,3.598007663666849,3.430658517727847,3.5023794174194336,1856000
1984-09-11,3.5143320247516234,3.6219135731429257,3.5143320247516234,3.5860531330108643,1121000
1984-09-12,3.5860535750635147,3.5980071325794225,3.5023789004473076,3.5741000175476074,1148000
1984-09-13,3.5741003234887643,3.6458214467283554,3.562146764949638,3.5980074405670166,735000
1984-09-14,3.609960440102185,3.872937775260141,3.609960440102185,3.8251235485076904,2282000
1984-09-17,3.8251234078214997,3.872937632815366,3.753402298325822,3.8609838485717773,842000
1984-09-18,3.860983990576898,3.860983990576898,3.8012164351314652,3.8251235485076904,778000
1984-09-19,3.82512414082975,3.83707747137371,3.5860538820278904,3.5980074405670166,1219000
1984-09-20,3.598006549909819,3.717541649720809,3.538239000004324,3.621913433074951,2045000
1984-09-21,3.621914014318087,3.7055886888118983,3.6099606848148107,3.6577746868133545,622000
1984-09-24,3.6577749585435937,3.6577749585435937,3.4665187083461526,3.4904258251190186,1535000
1984-09-25,3.4784715481038737,3.4784715481038737,3.275261781501764,3.406750440597534,2800000
1984-09-26,3.4067498504484663,3.430656958140872,2.629771814381272,2.6656322479248047,9405000
1984-09-27,2.6656329396268292,2.6775864965748464,2.4385162695950364,2.570004940032959,3114000
1984-09-28,2.5700048686642667,2.629772423749482,2.52219087019512,2.546097755432129,1056000
1984-10-01,2.5460979871828715,2.8568893475138464,2.5341446574739166,2.629772663116455,1713000
1984-10-02,2.6297721695976097,2.7732143791373405,2.354841533974084,2.3787484169006348,2352000
1984-10-03,2.378748317416606,2.534144075918203,2.3428878805289823,2.4265623092651367,2133000
1984-10-04,2.438515607299667,2.522190255214808,2.438515607299667,2.4982831478118896,523000
1984-10-05,2.4982839843616023,2.701493781345934,2.4982839843616023,2.629772663116455,1567000
1984-10-08,2.6297729679563724,2.67758697632018,2.5819589595925643,2.6536800861358643,842000
1984-10-09,2.653679510529172,2.737353950017312,2.4385161775701136,2.534144401550293,3885000
1984-10-10,2.534144401550293,2.534144401550293,2.3667950665837605,2.534144401550293,1454000
1984-10-11,2.53414485802703,2.581958864632316,2.3907026102160027,2.438516616821289,1131000
1984-10-12,2.450470062878318,2.510237625387545,2.450470062878318,2.486330509185791,380000
1984-10-15,2.4863300032968216,2.581958220651383,2.4624231199545146,2.558051109313965,556000
1984-10-16,2.5580511818990095,2.6058651779354634,2.5460976258911168,2.581958293914795,310000
1984-10-17,2.581958293914795,2.581958293914795,2.534144297878341,2.581958293914795,333000
1984-10-18,2.5819587094388234,2.7493078364960755,2.5580515935755788,2.737354278564453,419000
1984-10-19,2.7851686804261853,2.880796929553744,2.7851686804261853,2.7971222400665283,886000
1984-10-22,2.797121922883747,2.880796602882578,2.773215034309196,2.856889486312866,298000
1984-10-23,2.856888844459426,2.9047028388613825,2.8329819612560025,2.880795955657959,587000
1984-10-24,2.8807963976278756,2.904703284499078,2.844935725328355,2.868842840194702,252000
1984-10-25,2.868842141950762,2.868842141950762,2.6656323990312143,2.713446617126465,1202000
1984-10-26,2.6775862859877027,2.6775862859877027,2.5580511818990095,2.581958293914795,523000
1984-10-29,2.581958293914795,2.6058651779354634,2.5580511818990095,2.581958293914795,283000
1984-10-30,2.581958220651383,2.617818659662399,2.558051109313965,2.558051109313965,503000
1984-10-31,2.5580513830849414,2.6058653828818765,2.534144497184042,2.570004940032959,560000
1984-11-01,2.5700049155689584,2.5700049155689584,2.4146093607093535,2.474376916885376,532000
1984-11-02,2.474376529108765,2.498283411035482,2.3907018723775133,2.4265623092651367,758000
1984-11-05,2.426562419652317,2.4982835246853394,2.3787484256286713,2.462423086166382,369000
1984-11-06,2.5102373832880067,2.6058653828818765,2.5102373832880067,2.570004940032959,1223000
1984-11-07,2.570004843045906,2.570004843045906,2.5102372885564663,2.534144401550293,494000
1984-11-08,2.534144426811189,2.546097755432129,2.510237313579051,2.546097755432129,334000
1984-11-09,2.546097553645256,2.581958220651383,2.534144225971658,2.558051109313965,1236000
1984-11-12,2.558051109313965,2.558051109313965,2.522190670302949,2.558051109313965,81000
1984-11-13,2.558051104246101,2.558051104246101,2.3548415702610783,2.39070200920105,1025000
1984-11-14,2.3907028756490565,2.462424007517567,2.366795755694489,2.450470447540283,524000
1984-11-15,2.450470062878318,2.498284067286668,2.426562946676564,2.486330509185791,317000
1984-11-16,2.486330529746389,2.486330529746389,2.390702520138897,2.402656078338623,374000
1984-11-19,2.4026552200226527,2.4026552200226527,2.330934124440842,2.3548412322998047,764000
1984-11-20,2.354841533974084,2.3907019723614633,2.330934423052427,2.3787484169006348,400000
1984-11-21,2.378749051565889,2.438516616821289,2.3548421622608298,2.438516616821289,251000
1984-11-23,2.4504691986810596,2.5341438478828335,2.4504691986810596,2.5102367401123047,456000
1984-11-26,2.510238202077166,2.5221917629241943,2.486331080383109,2.5221917629241943,181000
1984-11-27,2.522191099769812,2.64172622082056,2.510237542065707,2.629772663116455,602000
1984-11-28,2.6536801416338207,2.7612617197010985,2.6536801416338207,2.6775870323181152,804000
1984-11-29,2.6656326543421245,2.6656326543421245,2.558051109313965,2.558051109313965,665000
1984-11-30,2.570005454250837,2.6775870323181152,2.570005454250837,2.6775870323181152,864000
1984-12-03,2.677586104879593,2.7134467704777068,2.581958119274826,2.605865001678467,620000
1984-12-04,2.6058655477082455,2.6536797785246646,2.6058655477082455,2.629772663116455,154000
1984-12-05,2.6297729679563724,2.6536800861358643,2.6178194088666262,2.6536800861358643,175000
1984-12-06,2.653680013991842,2.8210291527131357,2.64172645522707,2.8090755939483643,1383000
1984-12-07,2.8090749460717905,2.83298205808747,2.74930739402771,2.74930739402771,296000
1984-12-10,2.7493070527028136,2.7493070527028136,2.641725517978678,2.713446617126465,977000
1984-12-11,2.713446617126465,2.7253999436551886,2.6895395080788393,2.713446617126465,281000
1984-12-12,2.7134472976033064,2.7134472976033064,2.6656330675172293,2.701493740081787,680000
1984-12-13,2.701493781345934,2.701493781345934,2.6058655477082455,2.629772663116455,1027000
1984-12-14,2.6297721120772093,2.6417256672765808,2.605865001678467,2.605865001678467,996000
1984-12-17,2.6058655477082455,2.6536797785246646,2.6058655477082455,2.629772663116455,907000
1984-12-18,2.629772423749482,2.66563286560256,2.534144426811189,2.546097755432129,2354000
1984-12-19,2.581958694108774,2.713447374585616,2.581958694108774,2.64172625541687,5255000
