date,close,high,low,open,volume
2010-11-05,66.73947143554688,66.85581004659802,64.2963655345373,66.85581004659802,48233
2010-11-08,74.18510437011719,74.18510437011719,67.16602188791923,67.6701540665749,255017
2010-11-09,71.74202728271484,77.24871045042214,70.96643977100344,75.07706443141718,334967
2010-11-10,72.86662292480469,73.09930013985027,69.803046168124,72.3624906025608,121967
2010-11-11,73.48709106445312,73.7585510924094,71.81957766135719,73.68099037998412,111767
2010-11-12,70.34596252441406,72.0910417896185,68.60088819027469,71.89714244979632,59017
2010-11-15,69.22134399414062,72.82783542026986,68.87232821763806,72.82783542026986,26150
2010-11-16,64.10245513916016,67.86406300565989,63.17174641142779,67.86406300565989,124267
2010-11-17,65.76997375488281,65.76997375488281,63.59832332917461,64.45147135848399,46500
2010-11-18,68.56209564208984,69.06622790060958,68.05796338357013,68.40697423095763,43250
2010-11-19,68.75598907470703,69.02744907496606,66.9333544327252,68.52331189223582,24483
2010-11-22,68.91114044189453,69.41527291272546,67.8640926655846,69.41527291272546,23150
2010-11-23,68.48454284667969,68.5233207384097,66.89458518190986,68.09674913618588,32500
2010-11-24,72.01347351074219,72.28492861315605,69.76426704636371,69.76426704636371,95683
2010-11-26,74.76680755615234,75.15460121391732,73.02173363067804,73.79732094620798,91083
2010-11-29,75.15460968017578,75.61996409434204,73.33197484540088,75.61996409434204,76417
2010-11-30,74.80558776855469,75.58118003926415,74.10756113529942,74.99948706899806,79983
2010-12-01,77.36504364013672,77.79162019338276,75.61996939573793,76.39555685301188,67683
2010-12-02,77.71405029296875,78.60598118761948,77.48137309706546,77.8691717109471,98817
2010-12-03,77.59772491455078,78.41209523894831,77.05481465232914,78.41209523894831,39333
2010-12-06,78.14064025878906,78.29575677242848,77.1323705924703,77.8304023004452,63850
2010-12-07,78.29573822021484,80.42861073439795,77.86916667601656,80.42861073439795,106283
2010-12-08,76.00774383544922,78.41207124632909,75.81384948586881,78.41207124632909,77400
2010-12-09,76.7833480834961,77.55893546572764,76.00775577020022,76.20165508129027,43883
2010-12-10,76.82212829589844,77.01602761285075,74.80559413763926,77.01602761285075,38017
2010-12-13,76.97724914550781,78.17941314406521,76.78335474865115,78.10185242668369,34067
2010-12-14,75.6975326538086,77.71406208280843,75.23217819140402,77.71406208280843,34667
2010-12-15,74.5728988647461,76.27919468875135,74.4953431016043,75.96896177405763,27533
2010-12-16,75.6199722290039,76.16288248322402,74.99950125372449,75.2321784858374,24150
2010-12-17,75.9689712524414,76.35676490972385,74.80558534953019,76.35676490972385,30517
2010-12-20,76.89970397949219,77.09359840312682,76.2016722198505,76.58946599818518,28000
2010-12-21,77.17115783691406,77.36505225729672,76.78336406508342,77.09359711012179,45133
2010-12-22,77.09358215332031,77.75283587549049,77.05480426298008,77.55893656166059,22800
2010-12-23,77.09358215332031,77.52015867132036,76.66701056638466,77.52015867132036,17650
2010-12-27,76.86090087890625,76.89968369825708,76.35676860692257,76.78334510233283,9650
2010-12-28,77.907958984375,78.14063620830562,76.93847219501902,77.09358870061783,31033
2010-12-29,79.52536010742188,80.03944664748728,77.98309545879593,78.45763842760391,54767
2010-12-30,79.96035766601562,80.43490065375227,79.09036386464177,80.11853698578453,44133
2010-12-31,80.94898223876953,81.22579728845807,79.88126058198993,80.0789884908701,22200
2011-01-03,82.49124908447266,82.92624345596872,81.66079888452414,82.37261334162287,63817
2011-01-04,80.31625366210938,82.6889632401705,78.73444560059221,82.41214821222303,62283
2011-01-05,78.93217468261719,79.16944614683939,78.22036028995056,79.01126181840506,25967
2011-01-06,77.03400421142578,78.97171952435345,76.91536847740103,78.97171952435345,26067
2011-01-07,76.48037719726562,77.70627815507747,75.2940198095672,77.70627815507747,25450
2011-01-10,76.91535949707031,77.07354380958725,74.89855728255286,75.64991516750754,19050
2011-01-11,77.78535461425781,78.41808181976748,77.15263243717703,77.15263243717703,84450
2011-01-12,81.2653579711914,81.2653579711914,79.68354955022905,81.10717360919392,72133
2011-01-13,81.7003402709961,82.64942618841197,80.75125435358024,81.85851958108887,38033
2011-01-14,81.73987579345703,81.81896795493095,80.4744313804489,81.26533790990082,22550
2011-01-18,84.23121643066406,84.38939067863102,82.01668644741306,82.01668644741306,65467
2011-01-19,82.68895721435547,86.56438240849275,82.37259864216365,85.69439382075082,57683
2011-01-20,80.63261413574219,81.50261286400861,79.48580540150904,81.46306426735966,76933
2011-01-21,80.39534759521484,81.77942779385496,80.35579899861645,81.70033562908749,55917
2011-01-24,80.98851776123047,81.18624565046214,79.68352978327462,80.19761626116203,35283
2011-01-25,79.72306823730469,80.63260540689993,79.09034607213903,80.43488255877685,48933
2011-01-26,81.8189697265625,81.89806188974902,80.07898236389299,80.11852593127163,60283
2011-01-27,80.51397705078125,82.80759433749064,79.96034199743244,82.80759433749064,22917
2011-01-28,79.05081939697266,80.27672042527212,79.05081939697266,80.27672042527212,28633
2011-01-31,82.53077697753906,82.57032054150031,79.3276175575301,79.52534543419388,69533
2011-02-01,86.72256469726562,86.99937969857456,83.9939481908119,84.19167103670597,94917
2011-02-02,88.10664367675781,88.66028376119813,86.8411993036303,86.99938362159295,133067
2011-02-03,87.0784683227539,87.90892339781668,85.85256754910385,87.90892339781668,104717
2011-02-04,86.84121704101562,87.71121588222127,85.18032661903021,87.71121588222127,49667
2011-02-07,86.05030822753906,87.07848127641613,85.73394961023669,86.48530761186679,64983
2011-02-08,86.20849609375,86.5643982956774,85.37804086115351,86.32712680877262,34383
2011-02-09,85.69441986083984,87.11803889672909,85.14077962019658,87.11803889672909,33183
