date,close
2010-02-11,9389150.0
2010-02-12,9311091.0
2010-02-16,8980555.0
2010-02-17,8842733.0
2010-02-18,8630508.0
2010-02-19,8653681.0
2010-02-22,8707347.0
2010-02-23,9057399.0
2010-02-24,8774430.0
2010-02-25,8713447.0
2010-02-26,8665879.0
2010-03-01,8284116.5
2010-03-02,8220692.0
2010-03-03,8220692.0
2010-03-04,8118238.5
2010-03-05,7758432.5
2010-03-08,7695007.0
2010-03-09,7562062.0
2010-03-10,7380327.0
2010-03-11,7308365.5
2010-03-12,7297389.5
2010-03-15,7341299.5
2010-03-16,7199814.5
2010-03-17,7165663.5
2010-03-18,7080285.0
2010-03-19,7208351.0
2010-03-22,7005884.5
2010-03-23,6866840.0
2010-03-24,6940021.0
2010-03-25,6997347.5
2010-03-26,6954656.5
2010-03-29,6864401.0
2010-03-30,6797316.0
2010-03-31,6871717.5
2010-04-01,6886355.0
2010-04-05,6696083.0
2010-04-06,6642417.0
2010-04-07,6676568.0
2010-04-08,6653394.5
2010-04-09,6527766.0
2010-04-12,6507033.0
2010-04-13,6404577.5
2010-04-14,6181375.5
2010-04-15,6105753.5
2010-04-16,6298464.5
2010-04-19,6325298.5
2010-04-20,6239920.0
2010-04-21,6115512.0
2010-04-22,6020377.0
2010-04-23,5947195.0
2010-04-26,5987444.5
2010-04-27,6354570.5
2010-04-28,6344812.5
2010-04-29,6016718.0
2010-04-30,6372864.5
2010-05-03,6102095.0
2010-05-04,6654614.0
2010-05-05,6743652.0
2010-05-06,7430337.0
2010-05-07,7916990.0
2010-05-10,6766825.0
2010-05-11,6759507.0
2010-05-12,6391161.5
2010-05-13,6687545.5
2010-05-14,7069308.5
2010-05-17,7015642.5
2010-05-18,7288852.5
2010-05-19,7463267.0
2010-05-20,8192641.5
2010-05-21,8102381.5
2010-05-24,8045056.0
2010-05-25,8107261.5
2010-05-26,8347540.5
2010-05-27,7409602.5
2010-05-28,7546206.0
2010-06-01,7763309.5
2010-06-02,7212011.5
2010-06-03,6996125.5
2010-06-04,7698665.5
2010-06-07,8123117.0
2010-06-08,8162148.5
2010-06-09,8380471.0
2010-06-10,7647437.5
2010-06-11,7446189.0
2010-06-14,7464486.0
2010-06-15,6855862.5
2010-06-16,6747312.0
2010-06-17,6661932.0
2010-06-18,6658273.0
2010-06-21,6831468.0
2010-06-22,6997347.5
2010-06-23,7081506.0
2010-06-24,7441313.5
2010-06-25,7433993.0
