date,amount
2023-06-07,0.746
2023-07-07,0.957
2023-08-04,0.814
2023-09-08,0.93
2023-10-06,0.677
2023-11-08,0.415
2023-12-07,0.507
2024-01-05,0.626
2024-02-07,1.53
2024-03-06,2.622
2024-04-04,2.608
2024-05-06,1.199
2024-06-06,2.563
2024-07-05,2.471
2024-08-07,1.251
2024-09-06,1.355
2024-10-10,1.1
2024-11-07,1.023
2024-12-05,1.185
2025-01-03,0.898
2025-01-30,0.829
2025-02-27,1.612
2025-03-27,0.787
2025-04-24,0.673
2025-05-22,1.628
2025-06-20,0.672
2025-07-17,1.029
2025-08-14,0.84
2025-09-11,0.643
2025-10-09,0.795
2025-10-16,0.109
2025-10-23,0.121
2025-10-30,0.182
2025-11-06,0.319
2025-11-13,0.144
2025-11-20,0.15
2025-11-28,0.163
2025-12-04,0.165
2025-12-11,0.149
2025-12-18,0.117
2025-12-26,0.116
2026-01-02,0.144
2026-01-08,0.105
2026-01-15,0.095
2026-01-22,0.085
2026-01-29,0.108
2026-02-05,0.094
2026-02-12,0.106
2026-02-19,0.094
2026-02-26,0.115
2026-03-05,0.116
2026-03-12,0.12
2026-03-19,0.133
2026-03-26,0.12
2026-04-02,0.115
2026-04-09,0.111
2026-04-16,0.116
2026-04-23,0.14
2026-04-30,0.207
2026-05-07,0.128
2026-05-14,0.151
2026-05-21,0.135
2026-05-28,0.125
2026-06-04,0.131
2026-06-11,0.119
2026-06-18,0.122
2026-06-25,0.101
2026-07-02,0.098
2026-07-09,0.097
2026-07-16,0.096
