date,amount
2012-11-15,0.104
2012-12-14,0.122
2013-01-15,0.09
2013-02-15,0.102
2013-03-15,0.077
2013-04-15,0.077
2013-05-15,0.075
2013-06-14,0.078
2013-07-15,0.081
2013-08-15,0.078
2013-09-13,0.087
2013-10-15,0.09
2013-11-15,0.087
2013-12-13,0.104
2013-12-24,0.018
2014-01-15,0.088
2014-02-14,0.088
2014-03-14,0.092
2014-04-15,0.089
2014-05-15,0.084
2014-06-13,0.085
2014-07-15,0.085
2014-08-15,0.089
2014-09-15,0.089
2014-10-15,0.089
2014-11-14,0.093
2014-12-15,0.093
2015-01-15,0.093
2015-02-13,0.095
2015-03-13,0.095
2015-04-15,0.093
2015-05-15,0.091
2015-06-15,0.097
2015-07-15,0.098
2015-08-14,0.094
2015-09-15,0.096
2015-10-15,0.108
2015-11-13,0.103
2015-12-15,0.099
2016-01-15,0.108
2016-02-12,0.108
2016-05-13,0.112
2016-06-15,0.109
2016-07-15,0.114
2016-08-15,0.112
2016-09-15,0.117
2016-10-14,0.117
2016-11-15,0.12
2016-12-15,0.251
2017-01-13,0.123
2017-02-15,0.125
2017-03-15,0.121
2017-04-13,0.124
2017-05-15,0.099
2017-06-15,0.098
2017-07-14,0.097
2017-08-15,0.1
2017-09-18,0.1
2017-10-23,0.101
2017-11-20,0.128
2017-12-18,0.116
2018-01-22,0.138
2018-02-20,0.152
2018-03-19,0.14
2018-04-23,0.141
2018-05-21,0.136
2018-06-18,0.136
2018-07-23,0.136
2018-08-20,0.137
2018-09-24,0.139
2018-10-22,0.139
2018-11-19,0.138
2018-12-24,0.147
2019-01-22,0.135
2019-02-19,0.143
2019-03-18,0.144
2019-04-22,0.148
2019-05-20,0.151
2019-06-24,0.153
2019-07-22,0.15
2019-08-19,0.153
2019-09-23,0.152
2019-10-21,0.152
2019-11-18,0.155
2019-12-23,0.155
2020-01-21,0.156
2020-02-24,0.158
2020-03-23,0.157
2020-04-20,0.156
2020-05-18,0.155
2020-06-22,0.153
2020-07-20,0.15
2020-08-24,0.15
2020-10-19,0.147
2020-11-23,0.153
2020-12-21,0.154
2021-01-19,0.149
2021-02-22,0.145
2021-03-22,0.141
2021-04-19,0.126
2021-05-24,0.114
2021-06-21,0.121
2021-07-19,0.114
2021-08-23,0.127
2021-10-18,0.13
2021-11-22,0.133
2021-12-20,0.137
2022-01-24,0.139
2022-02-22,0.143
2022-03-21,0.145
2022-04-18,0.143
2022-05-23,0.142
2022-06-21,0.142
2022-07-18,0.141
2022-08-22,0.141
2022-09-19,0.141
2022-10-24,0.141
2022-11-21,0.143
2022-12-19,0.144
2023-01-23,0.145
2023-02-21,0.146
2023-03-20,0.147
2023-04-24,0.148
2023-05-22,0.151
2023-06-20,0.155
2023-07-24,0.158
2023-08-21,0.162
2023-09-18,0.179
2023-10-23,0.177
2023-11-20,0.164
2023-12-18,0.169
2024-01-22,0.153
2024-02-20,0.145
2024-03-18,0.134
2024-04-22,0.141
2024-05-20,0.136
2024-06-24,0.13
2024-07-22,0.135
2024-08-19,0.131
2024-09-23,0.132
2024-10-21,0.133
2024-11-18,0.138
2024-12-23,0.138
2025-01-21,0.138
2025-02-24,0.138
2025-03-24,0.139
2025-04-21,0.14
2025-05-19,0.146
2025-06-23,0.151
2025-07-21,0.157
2025-08-18,0.162
2025-09-22,0.178
2025-10-20,0.183
2025-11-24,0.195
2025-12-22,0.206
2026-01-20,0.203
2026-02-23,0.209
2026-03-23,0.207
2026-04-20,0.208
2026-05-18,0.209
2026-06-22,0.211
