date,amount
2019-05-22,0.235
2019-06-26,0.223
2019-07-24,0.137
2019-08-21,0.251
2019-09-25,0.212
2019-10-23,0.168
2019-11-20,0.251
2019-12-30,0.166
2020-01-21,0.196
2020-02-24,0.239
2020-03-23,0.159
2020-04-20,0.176
2020-05-18,0.187
2020-06-22,0.192
2020-07-20,0.202
2020-08-24,0.208
2020-09-21,0.209
2020-10-19,0.214
2020-11-23,0.222
2020-12-30,0.228
2021-01-19,0.227
2021-02-22,0.24
2021-03-22,0.245
2021-04-19,0.249
2021-05-24,0.248
2021-06-21,0.248
2021-07-19,0.246
2021-08-23,0.251
2021-09-20,0.252
2021-10-18,0.247
2021-11-22,0.255
2021-12-30,0.307
2022-01-24,0.223
2022-02-22,0.232
2022-03-21,0.24
2022-04-18,0.235
2022-05-23,0.211
2022-06-21,0.202
2022-07-18,0.212
2022-08-22,0.207
2022-09-19,0.196
2022-10-24,0.195
2022-11-21,0.199
2022-12-29,0.187
2023-01-23,0.196
2023-02-21,0.196
2023-04-24,0.182
2023-05-22,0.161
2023-06-20,0.183
2023-07-24,0.18
2023-08-21,0.174
2023-09-18,0.173
2023-10-23,0.162
2023-11-20,0.168
2023-12-28,0.167
2024-01-22,0.165
2024-02-20,0.163
2024-03-18,0.167
2024-04-22,0.163
2024-05-20,0.165
2024-06-24,0.161
2024-07-22,0.161
2024-08-19,0.161
2024-09-23,0.162
2024-10-21,0.166
2024-11-18,0.166
2024-12-30,0.166
2025-01-21,0.168
2025-02-24,0.163
2025-03-24,0.154
2025-04-21,0.143
2025-05-19,0.148
2025-06-23,0.149
2025-07-21,0.15
2025-08-18,0.151
2025-09-22,0.152
2025-10-20,0.153
2025-11-24,0.152
2025-12-22,0.155
2026-01-20,0.157
2026-02-23,0.158
2026-03-23,0.148
2026-04-20,0.157
2026-05-18,0.157
2026-06-22,0.162
