date,amount
2022-06-01,0.376
2022-07-01,0.34
2022-08-01,0.407
2022-09-01,0.546
2022-10-03,0.38
2022-11-01,0.681
2022-12-01,0.546
2022-12-29,0.576
2023-02-01,0.441
2023-03-01,0.433
2023-04-03,0.454
2023-05-01,0.484
2023-06-01,0.357
2023-07-03,0.367
2023-08-01,0.366
2023-09-01,0.451
2023-10-02,0.417
2023-11-01,0.418
2023-12-01,0.422
2023-12-28,0.392
2024-02-01,0.342
2024-03-01,0.38
2024-04-01,0.427
2024-05-01,0.431
2024-06-03,0.45
2024-07-01,0.421
2024-08-01,0.427
2024-09-03,0.557
2024-10-01,0.551
2024-11-01,0.494
2024-12-02,0.508
2024-12-31,0.456
2025-02-03,0.45
2025-03-03,0.482
2025-04-01,0.541
2025-05-01,0.598
2025-06-02,0.621
2025-07-01,0.494
2025-08-01,0.444
2025-09-02,0.442
2025-10-01,0.446
2025-11-03,0.476
2025-12-01,0.553
2025-12-31,0.576
2026-02-02,0.466
2026-03-02,0.509
2026-04-01,0.559
2026-05-01,0.591
2026-06-01,0.564
2026-07-01,0.637
