date,amount
2024-02-21,0.594
2024-03-20,0.605
2024-04-24,0.587
2024-05-22,0.613
2024-06-26,0.623
2024-07-24,0.619
2024-08-21,0.644
2024-09-25,0.602
2024-10-23,0.61
2024-11-20,0.612
2024-12-24,0.622
2025-01-22,0.624
2025-02-26,0.614
2025-03-26,0.587
2025-04-23,0.531
2025-05-21,0.637
2025-06-25,0.628
2025-07-23,0.637
2025-08-20,0.629
2025-09-24,0.641
2025-10-22,0.645
2025-11-26,0.63
2025-12-24,0.641
2026-01-21,0.636
2026-02-18,0.614
2026-03-18,0.609
2026-04-22,0.63
2026-05-20,0.659
2026-06-16,0.657
