date,amount
2023-01-10,9.99
2023-02-08,9.03
2023-03-08,9.02
2023-04-06,8.29
2023-05-05,4.4
2023-06-07,8.03
2023-07-07,10.66
2023-08-04,8.3
2023-09-08,5.85
2023-10-06,5.77
2023-11-08,5.85
2023-12-07,6.04
2024-01-05,5.57
2024-02-07,4.05
2024-03-06,4.055
2024-04-04,3.42
2024-05-06,3.47
2024-06-06,3.225
2024-07-05,5.02
2024-08-07,4.83
2024-09-06,4.095
2024-10-03,5.475
2024-10-31,2.995
2024-11-29,6.105
2024-12-27,6.43
2025-01-23,3.585
2025-02-20,2.895
2025-03-20,2.32
2025-04-17,3.3
2025-05-15,3.8
2025-06-12,2.015
2025-07-10,1.935
2025-08-07,1.505
2025-09-04,1.965
2025-10-02,4.01
2025-10-16,0.97
2025-10-23,0.825
2025-10-30,0.565
2025-11-06,0.735
2025-11-13,0.48
2025-11-20,0.445
2025-11-28,0.48
2025-12-04,0.935
2025-12-11,0.424
2025-12-18,0.42
2025-12-26,0.629
2026-01-02,0.366
2026-01-08,0.318
2026-01-15,0.35
2026-01-22,0.287
2026-01-29,0.324
2026-02-05,0.33
2026-02-12,0.331
2026-02-19,0.321
2026-02-26,0.315
2026-03-05,0.296
2026-03-12,0.285
2026-03-19,0.274
2026-03-26,0.263
2026-04-02,0.259
2026-04-09,0.258
2026-04-16,0.267
2026-04-23,0.296
2026-04-30,0.3
2026-05-07,0.338
2026-05-14,0.517
2026-05-21,0.286
2026-05-28,0.388
2026-06-04,0.351
2026-06-11,0.268
2026-06-18,0.279
2026-06-25,0.267
2026-07-02,0.281
2026-07-09,0.278
2026-07-16,0.259
