date,amount
2014-09-24,0.169
2014-12-24,0.089
2015-03-25,0.168
2015-06-24,0.169
2015-09-25,0.163
2015-12-24,0.136
2015-12-29,0.011
2016-06-21,0.171
2016-09-26,0.175
2016-12-21,0.152
2017-03-24,0.161
2017-06-27,0.186
2017-09-26,0.165
2017-12-19,0.194
2018-03-22,0.192
2018-06-26,0.191
2018-09-26,0.228
2018-12-17,0.2
2019-03-20,0.218
2019-06-17,0.228
2019-09-24,0.25
2019-12-16,0.235
2020-03-25,0.247
2020-06-15,0.249
2020-09-23,0.261
2020-12-14,0.273
2021-03-25,0.262
2021-06-10,0.261
2021-09-24,0.25
2021-12-13,0.299
2022-03-24,0.262
2022-06-09,0.235
2022-09-26,0.342
2022-12-13,0.329
2023-03-23,0.298
2023-06-07,0.26
2023-09-26,0.388
2023-12-20,0.37
2024-03-21,0.311
2024-06-11,0.293
2024-09-25,0.403
2024-12-17,0.378
2025-03-18,0.311
2025-06-16,0.324
2025-09-16,0.369
2025-12-16,0.447
2026-03-17,0.331
2026-06-15,0.331
