date,amount
2011-06-23,0.0488
2011-09-26,0.058
2011-12-22,0.0738
2011-12-28,0.0022
2012-03-26,0.1052
2012-06-19,0.108
2012-09-25,0.1032
2012-12-19,0.1022
2013-03-25,0.108
2013-06-26,0.1108
2013-09-24,0.1114
2013-12-23,0.1158
2014-03-25,0.1132
2014-06-24,0.1186
2014-09-24,0.1252
2014-12-24,0.133
2015-03-25,0.1434
2015-06-24,0.145
2015-09-25,0.1444
2015-12-24,0.1432
2016-03-23,0.1354
2016-06-21,0.1358
2016-09-26,0.1376
2016-12-21,0.1312
2017-03-24,0.1446
2017-06-27,0.1436
2017-09-26,0.1464
2017-12-19,0.1552
2018-03-22,0.1598
2018-06-26,0.1592
2018-09-26,0.1582
2018-12-17,0.1418
2019-03-20,0.1644
2019-06-17,0.15
2019-09-24,0.1714
2019-12-16,0.1558
2020-03-25,0.1828
2020-06-15,0.1758
2020-09-23,0.1702
2020-12-14,0.1846
2021-03-25,0.1764
2021-06-10,0.162
2021-09-24,0.1528
2021-12-13,0.2102
2022-03-24,0.154
2022-06-09,0.114
2022-09-26,0.2462
2022-12-13,0.229
2023-03-23,0.2084
2023-06-07,0.1592
2023-09-26,0.2156
2023-12-20,0.1954
2024-03-21,0.167
2024-06-11,0.1856
2024-09-25,0.2458
2024-12-17,0.2244
2025-03-18,0.159
2025-06-16,0.1826
2025-09-16,0.19
2025-12-16,0.2506
2026-03-17,0.1686
2026-06-15,0.185
2026-07-15,0.087
