date,amount
2023-07-28,30.0
2023-08-30,34.0
2023-10-30,30.0
2023-11-29,41.0
2023-12-27,34.0
2024-01-30,30.0
2024-02-28,32.0
2024-03-28,28.0
2024-04-29,35.0
2024-05-30,42.0
2024-06-27,42.0
2024-07-30,41.0
2024-08-29,39.0
2024-09-27,34.0
2024-10-30,34.0
2024-11-28,48.0
2024-12-27,38.0
2025-01-24,45.0
2025-02-27,35.0
2025-03-28,40.0
2025-04-29,26.0
2025-05-29,39.0
2025-06-27,34.0
2025-07-30,30.0
2025-08-28,35.0
2025-09-29,38.0
2025-10-30,30.0
2025-11-27,38.0
2025-12-29,40.0
2026-01-29,32.0
2026-02-26,38.0
2026-03-30,36.0
2026-04-29,33.0
2026-05-28,36.0
2026-06-29,45.0
