date,amount
2024-04-04,20.645
2024-05-06,12.62
2024-06-06,15.15
2024-07-05,11.66
2024-08-07,9.705
2024-09-06,9.27
2024-10-24,20.99
2024-11-21,22.105
2024-12-19,15.41
2025-01-16,11.395
2025-02-13,10.11
2025-03-13,6.89
2025-04-10,6.68
2025-05-08,11.865
2025-06-05,7.355
2025-07-03,6.19
2025-07-31,5.92
2025-08-28,5.45
2025-09-25,5.055
2025-10-16,3.035
2025-10-23,1.06
2025-10-30,0.96
2025-11-06,0.845
2025-11-13,0.81
2025-11-20,0.74
2025-11-28,0.675
2025-12-04,0.695
2025-12-11,0.586
2025-12-18,0.387
2025-12-26,0.511
2026-01-02,0.409
2026-01-08,0.374
2026-01-15,0.414
2026-01-22,0.43
2026-01-29,0.373
2026-02-05,0.308
2026-02-12,0.298
2026-02-19,0.361
2026-02-26,0.302
2026-03-05,0.35
2026-03-12,0.385
2026-03-19,0.438
2026-03-26,0.345
2026-04-02,0.314
2026-04-09,0.305
2026-04-16,0.304
2026-04-23,0.521
2026-04-30,0.489
2026-05-07,0.555
2026-05-14,0.536
2026-05-21,0.314
2026-05-28,0.298
2026-06-04,0.246
2026-06-11,0.212
2026-06-18,0.229
2026-06-25,0.188
2026-07-02,0.155
2026-07-09,0.206
2026-07-16,0.207
